GeneID,Filepath,Score,Mark
0.1_4EFB_4EFB.2.1.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.1.gene,0.1009020978668045,False
0.1_4EFB_4EFB.2.10.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.10.gene,0.102740717036829,False
0.1_4EFB_4EFB.2.100.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.100.gene,0.1079837208437247,False
0.1_4EFB_4EFB.2.101.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.101.gene,0.1157578492254326,False
0.1_4EFB_4EFB.2.102.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.102.gene,0.1041187180781523,False
0.1_4EFB_4EFB.2.103.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.103.gene,0.101259668305618,False
0.1_4EFB_4EFB.2.104.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.104.gene,0.1017525049239035,False
0.1_4EFB_4EFB.2.105.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.105.gene,0.1054700304953369,True
0.1_4EFB_4EFB.2.106.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.106.gene,0.1034064381625493,False
0.1_4EFB_4EFB.2.107.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.107.gene,0.1047538957068161,False
0.1_4EFB_4EFB.2.108.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.108.gene,0.1081525703298695,False
0.1_4EFB_4EFB.2.109.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.109.gene,0.1021572916782676,True
0.1_4EFB_4EFB.2.11.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.11.gene,0.1210717562784909,False
0.1_4EFB_4EFB.2.110.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.110.gene,0.1038595617530722,True
0.1_4EFB_4EFB.2.111.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.111.gene,0.1081273113681502,False
0.1_4EFB_4EFB.2.112.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.112.gene,0.1121871313419606,True
0.1_4EFB_4EFB.2.113.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.113.gene,0.1005678036508497,False
0.1_4EFB_4EFB.2.114.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.114.gene,0.1041563943019809,False
0.1_4EFB_4EFB.2.115.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.115.gene,0.1120757184763809,False
0.1_4EFB_4EFB.2.116.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.116.gene,0.1240304715546135,False
0.1_4EFB_4EFB.2.117.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.117.gene,0.1028821577687968,False
0.1_4EFB_4EFB.2.118.gene,Genes/6-stroke genes/min score 0.1/maint_0.1 on 4EFB.2/4EFB.2.118.gene,0.1018218314231601,False
